type,sub_type,text,listPrice,sqft,stories,beds,baths,baths_full,baths_full_calc,garage,year_built
single_family,,"Escape to the heart of the outdoors with this charming 2-bedroom, 1-bath ranch set on over 5 sprawling acres in the peaceful town of Winfield. Perfectly designed for easy, accessible living, this all-one-level home features no stairs and offers the cozy warmth of a wood stove complemented by L.P. heat. The property is a true haven for nature lovers, located just minutes from Lake Redstone and boasting an abundant deer herd perfect for hunting or peaceful morning watching. Outdoor enthusiasts will appreciate the outbuilding for storing equipment and toys, a dedicated garden run for home-grown produce, and expansive yard space ideal for hosting large family gatherings. Whether you are looking for a weekend retreat or a manageable full-time residence, this property offers the perfect balance of privacy, recreation, and functional country living. Living area has the ability ro be expanded for more space.",350000.0,800.0,1.0,2.0,1.0,1.0,1.0,2.0,2018.0
single_family,,"Charming 3-bedroom ranch set on a beautiful wooded one-acre lot offering privacy and peaceful surroundings. This well-maintained home features numerous recent updates throughout. The remodeled kitchen showcases modern finishes and updated cabinetry and appliances, refreshed bathroom adds style and comfort. Major mechanical improvements include a newer furnace, central A/C, and well pump--providing peace of mind for years to come. Updated flooring enhances the main living areas. The full exposed lower level offers fireplace, full wet bar and endless possibilities for additional living space, entertaining, or storage. Private yard surrounded by mature trees and a detached garage! HSA 12 month home warranty included for buyer's peace of mind.",369900.0,1144.0,1.0,3.0,4.0,3.0,3.0,2.0,1960.0
single_family,,"ONLINE REAL ESTATE AUCTION [Redacted Entity], Beloit, WI 53511 IN-PERSON PREVIEWS (OPEN HOUSES): Sunday, March 15, 2026, from 1:00 PM - 2:00 PM and Saturday, March 21, 2026, from 1:00 PM - 2:00 PM. AUCTION END DATE: Thursday, March 26, 2026 (the auction starts to close at 7:07 PM). AERIAL DRONE FOOTAGE: See Beloit Auction website/app. 3D VIRTUAL TOUR: See Beloit Auction website/app. FLOOR PLANS WITH ROOM MEASUREMENTS: See Beloit Auction website/app. PROPERTY HIGHLIGHTS: 1.5 story home 4 bedroom / 2 bath Attic for storage or design into a finished loft Detached three car garage plus storage Kitchen was remodeled with custom cabinetry, quartz countertops, and abundant built-in storage Appliances include: refrigerator, stove, gas range, garbage disposal, dishwasher, microwave, washer, and dryer Featuring AprilAire whole-house N95 air filtration and REME HALO whole-home in-duct air purifier Sunroom Fireplace Backyard patio Custom barn-style shed Large yard with mature trees Forced air heat (natural gas) Water softener Wood stove in lower level Municipal sewer and water Total acreage - 0.768 acres Total square footage - the main level is 2, 326 sq ft, the upper level is 584 sq ft, and the lower level is 1, 138 sq ft. Close to dining and shopping Located in the City of Beloit, Rock County, Wisconsin School district - School District of Beloit Year built - [Redacted Entity], WI - 23020460 Total assessed value - $288, 800.00 2025 taxes - $4, 638.30 Title is guaranteed free and clear at closing (with taxes and utilities paid up to the closing date) $199, 000 minimum opening bid",199000.0,2326.0,2.0,4.0,2.0,2.0,2.0,3.0,1942.0
single_family,,"Completely refreshed inside and out, this 2 bedroom, 1 full bath home is located in Milwaukee's vibrant Lincoln Village neighborhood. Updates include new windows throughout, new flooring throughout, an updated kitchen and bathroom, fresh paint throughout, and so much more! A bonus room/loft offers flexible space for a home office, playroom, or guest area. The rear parking slab provides convenient off-street parking for up to three vehicles. Ideally situated near Lincoln Avenue School, Pulaski Park, and Kosciuszko Park, with easy access to local amenities. A great opportunity to own a nicely updated home on Milwaukee's south side!",199900.0,944.0,,2.0,1.0,1.0,1.0,,1902.0
single_family,,"Modern equestrian retreat featuring a Gourmet Kitchen w/ Corian counters, stainless appliances, large island & Dinette w/ barn doors leading to a sun drenched Living Room. The Great Room boasts vaulted ceilings, surround sound & fireplace with a locally harvested black walnut mantle. The Primary Suite offers patio & spa access, accent wall, and Luxurious Bath w/ heated floors & soaking tub. Breathtaking grounds w/ river feature, koi pond, swim spa & sweeping countryside views. The equestrian setup includes a 40' x 63' barn w/ 5/6 stalls, tack room, hay loft w/ conveyor belt, riding arena, paddocks, runs w/ fans & frost-free waterers. 4 car garage w/ EV charger, smart security system, electric gate & nearby Kettle Moraine horse trails complete this one-of-a-kind property.",875000.0,3100.0,2.0,3.0,3.0,2.0,2.0,4.0,2004.0
single_family,,"This lovingly renovated farmhouse, from the metal roof to the new basement drain tile, blends timeless charm with thoughtful modern updates. Inside you'll find refinished wood floors, crisp white trim, freshly painted walls, and a beautifully updated kitchen ready for gathering and everyday living. The extended upstairs bedroom features a custom closet for added space and functionality. Set on serene land with two lush pastures and a variety of fruit trees including apple, pear, and mulberry, the property offers beauty and bounty in every season. Imagine mornings collecting fresh eggs from your chicken coop and evenings unwinding on the deck overlooking the peaceful grounds. With updated systems, a cozy wood burning stove, and functional spaces throughout, this property offers the perfect balance of country living with convenient access to nearby amenities.",499900.0,1728.0,2.0,4.0,2.0,2.0,2.0,2.0,1900.0
single_family,,"Escape to the Northwoods with this custom-built cabin set on a beautiful wooded corner parcel at Cty X and Barker Ave. Built in 2008, this well-crafted getaway features an open-concept living, kitchen, and dining area with stunning cabinetry and warm rustic finishes throughout. The cabin offers two cozy loft bedrooms and an incinerator toilet system for simple off-grid style living while still enjoying the convenience of 200-amp electrical service. The property does not currently have a well or septic, recreational retreat or hunting basecamp. One-car garage along with an incredible trail system that winds throughout the property. Multiple ponds attract wildlife, and several established tree stands make this a turnkey hunting property. The mix of woods provides excellent habitat and privacy. The cabin comes fully furnished so you can start enjoying. Whether you are looking for a hunting camp, weekend escape, or private Northwoods retreat.",225000.0,1013.0,2.0,2.0,1.0,,,1.0,2009.0
single_family,,"Discover your perfect retreat in Stone Lake, WI-a 4-bedroom, 2.5-bath home brimming with modern updates. Enjoy a renovated kitchen with new cabinets, fresh paint and trim throughout, and charming tongue-and-groove ceilings and walls. The home features laminate flooring on the lower level, plush carpeting in the bedrooms, and all-new interior doors and light fixtures on the main level. Step out onto the spacious deck to soak in the tranquility and natural beauty of the surroundings. The property includes a convenient 2-car attached garage and a quaint garden shed. Perfect as a year-round residence or your dream up-north getaway, this home is ready to make memories. The seller is open to any reasonable offer as they plan their move down south. Don't miss out on this incredible opportunity!",395900.0,2400.0,1.0,4.0,3.0,2.0,2.0,2.0,2000.0
single_family,,"Beautifully renovated 4-bedroom, 1.5-bath home showcasing thoughtful updates and attention to detail throughout. The home features updated electrical, a newer tankless water heater, and a brand-new roof (2025) for added peace of mind. Brand new appliances and first floor laundry. Spacious living areas and well-designed finishes make this home both comfortable and functional. Step outside to enjoy the concrete patio in the fully fenced in yard. perfect for entertaining or relaxin, along with a convenient storage shed. A move-in ready home with modern updates inside and out. This is the one you've been looking for!",265000.0,1563.0,,4.0,2.0,1.0,1.0,,1930.0
single_family,,"Step into this beautifully updated 3-bedroom, 1.5-bath Tudor Provincial-style home, where classic architectural charm meets sophisticated modern living. The kitchen is a true centerpiece, featuring luxurious quartz countertops, tasteful gold accents, and stylish finishes that create a space both stunning and functional for cooking and entertaining. Throughout the home, nearly all windows have been replaced, allowing natural light to pour in while enhancing energy efficiency and comfort. There are two HVAC systems--one serving the main level and another dedicated to the upper level providing optimal climate control year-round. Step outside to a large brick patio and fenced in yard. The 2.5 car garage has a new roof and siding. Come and check out this beauty before it's gone.",374900.0,1529.0,2.0,3.0,2.0,1.0,1.0,2.0,1925.0
single_family,,"Beautiful country living awaits in this unique converted church! Thanks to its history, the home boasts awesome high ceilings and an incredibly open floor plan that is perfect for a big family. The massive interior offers so much room to work with, giving you a complete blank canvas just waiting for your fresh ideas. Step outside and you will find a really nice lot surrounded by pretty views, offering that quiet rural lifestyle everyone is looking for. The property also features a great detached two car shed that provides plenty of space for parking, extra storage, or setting up a workshop for your upcoming projects. If you want a property with real character, sprawling living areas, and peaceful country surroundings, you need to see this one in person. Bring your tools and your vision!",189999.0,2600.0,1.0,3.0,2.0,2.0,2.0,2.0,1900.0
single_family,,"Welcome to this charming 1873 brick farmhouse, it is a perfect blend of historic charm and modern potential. Nestled on a sprawling one-acre lot, this property boasts three spacious bedrooms and 2.5 baths. The recently renovated sections of the home showcase beautifully restored character, featuring original woodwork, high ceilings, and large windows that fill the space with natural light. You'll appreciate the thoughtfully preserved details that pay homage to the home's history, while still allowing for your personal touch in the areas waiting to be transformed. Bring your vision and explore the endless possibilities this unique property has to offer! This listing is being sold as-is, don't miss this opportunity to own a piece of history and make it your own! Photos are virtually staged",249900.0,3580.0,,3.0,3.0,2.0,2.0,,1873.0
single_family,,"3BR/2.5BA, 2,000+ sq. ft. 2-Story home situated on a corner lot parcel spanning 1.18-acres! Immediately upon entry, your eyes will gravitate to the cathedral ceiling, adorned with knotty pine tongue and groove. Open concept LR w/tiled GFP and 2-story window welcoming natural light. Kitchen equipped w/SS appliance package, granite countertops, center island, & beautiful, honey oak cabinetry with two floor-to-ceiling built-in pantries. Primary BR w/WIC and en-suite featuring bi-level dual vanity & walk-in shower. Half BA and laundry complete the main. Upstairs, find a loft, 2 BRs, and full BA. Finish the LL for addt'l entertaining space! Awesome backyard w/wooden deck & mature trees at perimeter for privacy. Radon Mit (2025); Water Heater (2016); Basement Lift Pump (2015); HVAC (2014).",574900.0,2107.0,2.0,3.0,3.0,2.0,2.0,2.0,1989.0
single_family,,"Location Location! This second owner ranch home with 1699 Sq. Ft. offers a fully open concept design on a great private lot. Enter the foyer to a huge great room with vaulted ceilings with a GFP. Huge working kitchen with tons of cabinets, flush snack bar and all appliances included + a spacious dining area with large window. Formal dinning room with slider doors to beautiful concrete patio. Primary bedroom offers vaulted ceilings, walk in closet and private full bath w/double vanity, SS and soaking tub. Two other spacious bedrooms with large closets + main full bath SOT. Main level laundry. 2.5 car attached garage with built in workbench. Open lower level! A totally must see home!!",389900.0,1699.0,1.0,3.0,2.0,2.0,2.0,2.0,1996.0
single_family,,"This Custom A-Frame Chalet is an irresistible blend of style and function, situated on a private acre in Voyager Village near North Sand Lake. Here, Scandinavian-inspired design meets modern convenience with neutral color palettes and natural materials like wood and stone harmonizing perfectly. With a striking 2013 steel roof, skylights, and oversized quality windows, this completely furnished home promises energy efficiency courtesy of its 2023 forced air furnace and central air. On two levels you have Steffes ETS radiant heat units (off-peak electricity), while both levels include backup baseboard electric heat options. Two detached garages stand ready to house your vehicles, UTV/ATV, and boat toys, while a drilled well and 3-bedroom concrete septic system ensure practical living. Unleash your creativity by updating the kitchen slightly, updating your flooring and tweaking the lighting to make this gem truly sparkle. This chalet isn't just a cabin or house- it's a lifestyle waiting to be embraced!",250000.0,1400.0,2.0,3.0,2.0,2.0,2.0,2.0,1990.0
multi_family,,"This is a tax foreclosed property. For the first 30-days of the listing period, no offers below the listing price will be considered per Wisconsin Foreclosure Law. Owner Occupants will be prioritized. BIDS DUE March 30, 2026 at 10:00 am.",154700.0,2358.0,,4.0,3.0,2.0,2.0,,1929.0
single_family,,"Stylish brick ranch set on a park-like double lot will please even the fussiest! Updated kitchen has appliances included and opens to a spacious, bright living room. Full bath features double sinks, tub, & a walk-in shower. King sized primary bedroom boasts wardrobe & double closet. Central office/den flows to the dining room-also perfect as a sun room overlooking the incredible backyard with patio & lush hostas & perennials. Large rec room, bonus room, light & bright laundry area with washer & dryer included, plus a big unfinished area for storage in lower level. Attached 2-car garage (no direct house access). New Marvin windows 2024. New furnace & AC 2020. Prime Wauwatosa location minutes from Firefly Grove Park, shopping, the Medical College and freeway. Pride of ownership shines here!",339900.0,1940.0,1.0,2.0,1.0,1.0,1.0,2.0,1955.0
single_family,,"JENNY LAKE CABIN, TURNKEY READY TO ENJOY! Come see how well planned out this efficient floor plan is. If you're looking for a lake front cabin to just come and enjoy without the hassle of updating or remodeling, then take a look at this one! The cabin features 2 bedrooms (queen sized beds), full bath, open living room with vaulted ceiling and ledgestone gas fireplace, beautifully updated kitchen, all sitting on a short, partial basement offering a place for mechanicals and storage. There is a large lake side deck, nicely landscaped yard with a fire pit, a garage to store all the toys and a dock to tie your boat up to. The lot offers a gentle taper down to the sandy mixed shoreline. Updates include a total kitchen overhaul with Hickory cabinets, furnace, flooring, fireplace, bath, windows and the list goes on. All of this is located on 104-acre Oscar Jenny Lake with UTVing/ snowmobiling right from your door and the boat launch close by. Take a look, you will not be disappointed!",340000.0,,1.0,2.0,1.0,1.0,1.0,2.0,
